data;

param M := 10;
param G := 2;

# grupo valor
param LIM_MIN := 
  1 5
  2 5
;

param LIM_MAX := 
  1 5
  2 5
;


param difference :=
0 0 0
0 1 169.099
0 2 159.004
0 3 141.282
0 4 157.673
0 5 158.618
0 6 189.872
0 7 183.184
0 8 189.924
0 9 167.281
1 0 169.099
1 1 0
1 2 193.304
1 3 159.485
1 4 233.595
1 5 181.372
1 6 178.844
1 7 148.289
1 8 142.471
1 9 210.771
2 0 159.004
2 1 193.304
2 2 0
2 3 182.149
2 4 193.72
2 5 147.467
2 6 147.928
2 7 171.168
2 8 162.941
2 9 113.779
3 0 141.282
3 1 159.485
3 2 182.149
3 3 0
3 4 216.67
3 5 180.12
3 6 183.173
3 7 205.837
3 8 198.429
3 9 209.652
4 0 157.673
4 1 233.595
4 2 193.72
4 3 216.67
4 4 0
4 5 231.326
4 6 229.156
4 7 240.313
4 8 223.024
4 9 187.506
5 0 158.618
5 1 181.372
5 2 147.467
5 3 180.12
5 4 231.326
5 5 0
5 6 169.185
5 7 195.806
5 8 154.565
5 9 166.004
6 0 189.872
6 1 178.844
6 2 147.928
6 3 183.173
6 4 229.156
6 5 169.185
6 6 0
6 7 166.526
6 8 143.18
6 9 152.755
7 0 183.184
7 1 148.289
7 2 171.168
7 3 205.837
7 4 240.313
7 5 195.806
7 6 166.526
7 7 0
7 8 162.557
7 9 200.93
8 0 189.924
8 1 142.471
8 2 162.941
8 3 198.429
8 4 223.024
8 5 154.565
8 6 143.18
8 7 162.557
8 8 0
8 9 187.06
9 0 167.281
9 1 210.771
9 2 113.779
9 3 209.652
9 4 187.506
9 5 166.004
9 6 152.755
9 7 200.93
9 8 187.06
9 9 0
;

end;
