data;

param M := 30;
param G := 5;

# <id grupo> <valor>
param LIM_MIN :=
	1 6
	2 6
	3 6
	4 6
	5 6
;

# <id grupo> <valor>
param LIM_MAX :=
	1 10
	2 8
	3 10
	4 10
	5 10
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 123.307
0 2 138.343
0 3 177.801
0 4 159.264
0 5 126.709
0 6 141.884
0 7 165.192
0 8 147.534
0 9 163.215
0 10 157.31
0 11 125.932
0 12 161.899
0 13 148.913
0 14 192.864
0 15 167.933
0 16 142.54
0 17 168.714
0 18 159.482
0 19 182.103
0 20 155.786
0 21 140.691
0 22 137.845
0 23 166.681
0 24 160.537
0 25 185.049
0 26 149.759
0 27 139.018
0 28 175.845
0 29 178.19
1 0 123.307
1 1 0
1 2 159.491
1 3 193.625
1 4 162.291
1 5 166.252
1 6 168.52
1 7 157.151
1 8 136.344
1 9 172.251
1 10 138.831
1 11 161.319
1 12 190.023
1 13 154.459
1 14 137.869
1 15 151.599
1 16 152.794
1 17 149.161
1 18 125.3
1 19 177.266
1 20 122.305
1 21 192.576
1 22 133.989
1 23 137.444
1 24 139.894
1 25 160.93
1 26 116.953
1 27 177.344
1 28 157.75
1 29 170.592
2 0 138.343
2 1 159.491
2 2 0
2 3 140.043
2 4 147.021
2 5 176.787
2 6 152.021
2 7 179.903
2 8 170.211
2 9 148.953
2 10 194.08
2 11 151.232
2 12 157.839
2 13 178.954
2 14 167.206
2 15 180.508
2 16 140.617
2 17 186.248
2 18 190.567
2 19 135.881
2 20 163.044
2 21 157.605
2 22 146.205
2 23 214.764
2 24 159.495
2 25 150.919
2 26 170.491
2 27 175.649
2 28 146.194
2 29 143.015
3 0 177.801
3 1 193.625
3 2 140.043
3 3 0
3 4 167.988
3 5 145.666
3 6 164.783
3 7 165.857
3 8 158.088
3 9 96.568
3 10 190.632
3 11 156.934
3 12 152.485
3 13 172.471
3 14 192.114
3 15 163.671
3 16 149.528
3 17 175.825
3 18 184.667
3 19 159.296
3 20 214.407
3 21 184.886
3 22 150.023
3 23 213.805
3 24 181.86
3 25 124.397
3 26 210.193
3 27 176.192
3 28 202.567
3 29 182.39
4 0 159.264
4 1 162.291
4 2 147.021
4 3 167.988
4 4 0
4 5 191.086
4 6 145.606
4 7 156.974
4 8 200.555
4 9 172.616
4 10 181.063
4 11 181.254
4 12 137.32
4 13 192.118
4 14 179.993
4 15 195.01
4 16 148.212
4 17 179.797
4 18 198.077
4 19 193.552
4 20 166.997
4 21 151.621
4 22 163.603
4 23 201.846
4 24 147.134
4 25 175.183
4 26 147.98
4 27 160.896
4 28 210.263
4 29 146.518
5 0 126.709
5 1 166.252
5 2 176.787
5 3 145.666
5 4 191.086
5 5 0
5 6 160.377
5 7 167.032
5 8 159.321
5 9 153.609
5 10 174.937
5 11 156.864
5 12 169.302
5 13 185.668
5 14 204.883
5 15 150.239
5 16 172.153
5 17 175.665
5 18 151.82
5 19 194.627
5 20 199.678
5 21 180.577
5 22 113.242
5 23 166.647
5 24 190.13
5 25 185.451
5 26 193.144
5 27 167.851
5 28 201.452
5 29 218.773
6 0 141.884
6 1 168.52
6 2 152.021
6 3 164.783
6 4 145.606
6 5 160.377
6 6 0
6 7 141.58
6 8 210.673
6 9 184.796
6 10 196.365
6 11 152.667
6 12 182.119
6 13 193.951
6 14 227.103
6 15 190.73
6 16 183.922
6 17 190.61
6 18 184.451
6 19 188.992
6 20 191.989
6 21 148.514
6 22 137.023
6 23 206.024
6 24 164.304
6 25 164.216
6 26 184.541
6 27 179.591
6 28 179.679
6 29 195.996
7 0 165.192
7 1 157.151
7 2 179.903
7 3 165.857
7 4 156.974
7 5 167.032
7 6 141.58
7 7 0
7 8 196.763
7 9 155.073
7 10 148.031
7 11 187.024
7 12 179.672
7 13 138.929
7 14 186.491
7 15 162.555
7 16 193.099
7 17 127.088
7 18 123.424
7 19 147.956
7 20 176.004
7 21 149.163
7 22 150.0
7 23 142.923
7 24 172.773
7 25 149.859
7 26 194.808
7 27 192.328
7 28 173.927
7 29 169.033
8 0 147.534
8 1 136.344
8 2 170.211
8 3 158.088
8 4 200.555
8 5 159.321
