data;

param M := 60;
param G := 6;


# <id grupo> <valor>
param LIM_MIN :=
	1 10
	2 10
	3 10
	4 10
	5 10
	6 10
;

# <id grupo> <valor>
param LIM_MAX :=
	1 10
	2 10
	3 10
	4 10
	5 10
	6 10
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 191.527
0 2 204.142
0 3 202.183
0 4 122.271
0 5 179.796
0 6 168.364
0 7 129.859
0 8 149.001
0 9 169.153
0 10 170.091
0 11 181.929
0 12 133.056
0 13 163.996
0 14 145.418
0 15 187.335
0 16 193.347
0 17 176.525
0 18 161.984
0 19 159.99
0 20 133.011
0 21 138.895
0 22 192.542
0 23 141.776
0 24 129.607
0 25 120.763
0 26 173.201
0 27 173.928
0 28 180.726
0 29 158.773
0 30 154.244
0 31 191.203
0 32 213.633
0 33 153.747
0 34 134.268
0 35 203.715
0 36 161.706
0 37 148.246
0 38 183.613
0 39 167.227
0 40 186.401
0 41 193.574
0 42 150.074
0 43 149.639
0 44 180.088
0 45 161.328
0 46 138.615
0 47 181.344
0 48 127.542
0 49 158.999
0 50 196.842
0 51 142.683
0 52 167.015
0 53 188.436
0 54 178.094
0 55 157.969
0 56 151.496
0 57 212.065
0 58 154.172
0 59 199.768
1 0 191.527
1 1 0
1 2 162.226
1 3 185.706
1 4 171.38
1 5 177.429
1 6 177.465
1 7 172.729
1 8 178.115
1 9 198.552
1 10 192.749
1 11 196.552
1 12 175.793
1 13 169.004
1 14 168.525
1 15 128.297
1 16 173.345
1 17 185.564
1 18 155.654
1 19 134.156
1 20 186.616
1 21 183.518
1 22 167.823
1 23 155.774
1 24 192.811
1 25 143.436
1 26 137.99
1 27 201.546
1 28 128.909
1 29 198.094
1 30 169.052
1 31 172.058
1 32 165.775
1 33 167.746
1 34 205.885
1 35 161.635
1 36 178.212
1 37 207.131
1 38 149.046
1 39 153.811
1 40 208.076
1 41 181.888
1 42 171.837
1 43 182.074
1 44 189.037
1 45 196.366
1 46 205.745
1 47 197.472
1 48 193.206
1 49 176.52
1 50 190.421
1 51 163.613
1 52 150.999
1 53 178.121
1 54 186.578
1 55 171.199
1 56 158.599
1 57 180.736
1 58 171.148
1 59 169.157
2 0 204.142
2 1 162.226
2 2 0
2 3 219.121
2 4 152.809
2 5 178.421
2 6 167.284
2 7 172.43
2 8 210.358
2 9 169.708
2 10 187.161
2 11 182.528
2 12 201.591
2 13 176.491
