data;

param M := 10;
param G := 2;

# <id grupo> <valor>
param LIM_MIN :=
	1 4
	2 4
;

# <id grupo> <valor>
param LIM_MAX :=
	1 5
	2 6
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 5
0 2 32
0 3 63
0 4 20
0 5 43
0 6 66
0 7 1
0 8 37
0 9 99
1 0 5
1 1 0
1 2 26
1 3 42
1 4 99
1 5 10
1 6 80
1 7 66
1 8 99
1 9 69
2 0 32
2 1 26
2 2 0
2 3 78
2 4 25
2 5 57
2 6 7
2 7 39
2 8 11
2 9 65
3 0 63
3 1 42
3 2 78
3 3 0
3 4 100
3 5 18
3 6 21
3 7 1
3 8 10
3 9 48
4 0 20
4 1 99
4 2 25
4 3 100
4 4 0
4 5 16
4 6 41
4 7 50
4 8 14
4 9 24
5 0 43
5 1 10
5 2 57
5 3 18
5 4 16
5 5 0
5 6 52
5 7 57
5 8 78
5 9 53
6 0 66
6 1 80
6 2 7
6 3 21
6 4 41
6 5 52
6 6 0
6 7 73
6 8 49
6 9 34
7 0 1
7 1 66
7 2 39
7 3 1
7 4 50
7 5 57
7 6 73
7 7 0
7 8 13
7 9 81
8 0 37
8 1 99
8 2 11
8 3 10
8 4 14
8 5 78
8 6 49
8 7 13
8 8 0
8 9 89
9 0 99
9 1 69
9 2 65
9 3 48
9 4 24
9 5 53
9 6 34
9 7 81
9 8 89
9 9 0
;

end;
