data;

param M := 12;
param G := 4;

# <id grupo> <valor>
param LIM_MIN :=
	1 4
	2 4
	3 4
	4 4
;

# <id grupo> <valor>
param LIM_MAX :=
	1 4
	2 4
	3 4
	4 4
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 2
0 2 70
0 3 91
0 4 53
0 5 83
0 6 11
0 7 31
0 8 96
0 9 62
0 10 68
0 11 41
1 0 2
1 1 0
1 2 83
1 3 61
1 4 10
1 5 51
1 6 48
1 7 26
1 8 2
1 9 56
1 10 21
1 11 83
2 0 70
2 1 83
2 2 0
2 3 10
2 4 62
2 5 19
2 6 22
2 7 59
2 8 1
2 9 11
2 10 86
2 11 84
3 0 91
3 1 61
3 2 10
3 3 0
3 4 24
3 5 94
3 6 92
3 7 67
3 8 80
3 9 46
3 10 0
3 11 94
4 0 53
4 1 10
4 2 62
4 3 24
4 4 0
4 5 56
4 6 92
4 7 57
4 8 99
4 9 74
4 10 82
4 11 5
5 0 83
5 1 51
5 2 19
5 3 94
5 4 56
5 5 0
5 6 90
5 7 14
5 8 60
5 9 73
5 10 7
5 11 99
6 0 11
6 1 48
6 2 22
6 3 92
6 4 92
6 5 90
6 6 0
6 7 34
6 8 81
6 9 94
6 10 64
6 11 97
7 0 31
7 1 26
7 2 59
7 3 67
7 4 57
7 5 14
7 6 34
7 7 0
7 8 51
7 9 25
7 10 76
7 11 89
8 0 96
8 1 2
8 2 1
8 3 80
8 4 99
8 5 60
8 6 81
8 7 51
8 8 0
8 9 85
8 10 24
8 11 92
9 0 62
9 1 56
9 2 11
9 3 46
9 4 74
9 5 73
9 6 94
9 7 25
9 8 85
9 9 0
9 10 58
9 11 37
10 0 68
10 1 21
10 2 86
10 3 0
10 4 82
10 5 7
10 6 64
10 7 76
10 8 24
10 9 58
10 10 0
10 11 10
11 0 41
11 1 83
11 2 84
11 3 94
11 4 5
11 5 99
11 6 97
11 7 89
11 8 92
11 9 37
11 10 10
11 11 0
;

end;
