data;

param M := 10;
param G := 2;

# <id grupo> <valor>
param LIM_MIN :=
	1 5
	2 5
;

# <id grupo> <valor>
param LIM_MAX :=
	1 5
	2 5
;

# <indivíduo i> <indivíduo j> <valor>
param difference :=
0 0 0
0 1 4.455
0 2 24.301
0 3 66.928
0 4 82.779
0 5 71.421
0 6 32.59
0 7 28.682
0 8 18.166
0 9 31.441
1 0 4.455
1 1 0
1 2 96.663
1 3 72.389
1 4 67.3
1 5 15.753
1 6 83.375
1 7 16.023
1 8 48.711
1 9 53.547
2 0 24.301
2 1 96.663
2 2 0
2 3 18.057
2 4 18.198
2 5 16.846
2 6 83.335
2 7 56.651
2 8 38.536
2 9 99.449
3 0 66.928
3 1 72.389
3 2 18.057
3 3 0
3 4 83.383
3 5 56.411
3 6 69.699
3 7 49.361
3 8 36.617
3 9 8.35
4 0 82.779
4 1 67.3
4 2 18.198
4 3 83.383
4 4 0
4 5 33.522
4 6 84.129
4 7 18.933
4 8 65.818
4 9 58.721
5 0 71.421
5 1 15.753
5 2 16.846
5 3 56.411
5 4 33.522
5 5 0
5 6 72.086
5 7 1.532
5 8 27.905
5 9 60.943
6 0 32.59
6 1 83.375
6 2 83.335
6 3 69.699
6 4 84.129
6 5 72.086
6 6 0
6 7 11.9
6 8 87.658
6 9 13.796
7 0 28.682
7 1 16.023
7 2 56.651
7 3 49.361
7 4 18.933
7 5 1.532
7 6 11.9
7 7 0
7 8 27.203
7 9 44.148
8 0 18.166
8 1 48.711
8 2 38.536
8 3 36.617
8 4 65.818
8 5 27.905
8 6 87.658
8 7 27.203
8 8 0
8 9 62.037
9 0 31.441
9 1 53.547
9 2 99.449
9 3 8.35
9 4 58.721
9 5 60.943
9 6 13.796
9 7 44.148
9 8 62.037
9 9 0
;

end;
